node_u,node_v,group_u,group_v,hierarchy_u,hierarchy_v,edge_type,overlap,is_local_bridge
22923,42042,A,A,A_PERIPHERY,A_CORE,internal,0.051470588235294115,False
22923,31998,A,A,A_PERIPHERY,A_CORE,internal,0.007751937984496124,False
22923,13449,A,A,A_PERIPHERY,A_CORE,internal,0.01232394366197183,False
22923,24446,A,A,A_PERIPHERY,A_CORE,internal,0.014705882352941176,False
22923,31993,A,A,A_PERIPHERY,A_CORE,internal,0.010968921389396709,False
22923,24554,A,A,A_PERIPHERY,A_CORE,internal,0.0851063829787234,False
22923,28890,A,A,A_PERIPHERY,A_PERIPHERY,internal,0.027777777777777776,False
22923,8052,A,A,A_PERIPHERY,A_CORE,internal,0.03910614525139665,False
22923,30179,A,A,A_PERIPHERY,A_PERIPHERY,internal,0.0,True
22923,10295,A,A,A_PERIPHERY,A_CORE,internal,0.05357142857142857,False
22923,3066,A,A,A_PERIPHERY,A_CORE,internal,0.034031413612565446,False
22923,4278,A,A,A_PERIPHERY,A_CORE,internal,0.022123893805309734,False
22923,19283,A,B,A_PERIPHERY,B_PERIPHERY,bridge,0.0,True
22923,35991,A,A,A_PERIPHERY,A_CORE,internal,0.03932584269662921,False
22923,44286,A,B,A_PERIPHERY,B_CORE,bridge,0.014285714285714285,False
22923,1991,A,A,A_PERIPHERY,A_CORE,internal,0.017632241813602016,False
22923,44957,A,A,A_PERIPHERY,A_CORE,internal,0.029239766081871343,False
22923,15051,A,A,A_PERIPHERY,A_CORE,internal,0.07792207792207792,False
22923,39996,A,A,A_PERIPHERY,A_CORE,internal,0.10975609756097561,False
22923,12127,A,A,A_PERIPHERY,A_CORE,internal,0.018867924528301886,False
22923,396,A,A,A_PERIPHERY,A_CORE,internal,0.06756756756756757,False
22923,30876,A,A,A_PERIPHERY,A_CORE,internal,0.02806122448979592,False
22923,42950,A,A,A_PERIPHERY,A_CORE,internal,0.06363636363636363,False
22923,23388,A,B,A_PERIPHERY,B_CORE,bridge,0.00980392156862745,False
22923,5914,A,A,A_PERIPHERY,A_CORE,internal,0.04,False
22923,38279,A,A,A_PERIPHERY,A_CORE,internal,0.03333333333333333,False
22923,27284,A,A,A_PERIPHERY,A_CORE,internal,0.017857142857142856,False
22923,35118,A,A,A_PERIPHERY,A_PERIPHERY,internal,0.08333333333333333,False
42042,10481,A,A,A_CORE,A_CORE,internal,0.09748427672955975,False
42042,18309,A,A,A_CORE,A_CORE,internal,0.08459869848156182,False
42042,33526,A,A,A_CORE,A_PERIPHERY,internal,0.06015037593984962,False
42042,38212,A,A,A_CORE,A_CORE,internal,0.08997955010224949,False
42042,2198,A,A,A_CORE,A_PERIPHERY,internal,0.028368794326241134,False
42042,30073,A,A,A_CORE,A_CORE,internal,0.08264462809917356,False
42042,1991,A,A,A_CORE,A_CORE,internal,0.06028368794326241,False
